INFO:2022-12-24 02:34:07,897:Loading model...
INFO:2022-12-24 02:34:08,896:defining function for input data...
INFO:2022-12-24 02:34:08,923:defining output format...
INFO:2022-12-24 02:34:13,308:Creating URL...
INFO:2022-12-24 02:34:19,130:App launched!
INFO:2022-12-25 16:56:30,775:Loading model...
INFO:2022-12-25 16:56:33,252:defining function for input data...
INFO:2022-12-25 16:56:33,265:defining output format...
INFO:2022-12-25 16:56:37,485:Creating URL...
INFO:2022-12-25 16:56:46,645:App launched!
